State of Residence,State of Residence Code,Age of Mother 9,Age of Mother 9 Code,Mother's Education,Mother's Education Code,Gestational Diabetes,Gestational Diabetes Code,Births,Average Age of Mother (years),Average OE Gestational Age (weeks),Average Birth Weight (grams),Average Pre-pregnancy BMI,Average Number of Prenatal Visits,Average Interval Since Last Other Pregnancy Outcome (months)
Alabama,1,20-24 years,20-24,"Some college credit, but not a degree",4,Yes,1,99,22.41,37.55,3150.45,33.96,11.86,27.06
Alabama,1,20-24 years,20-24,"Some college credit, but not a degree",4,No,2,2357,22.4,38.21,3178.27,28.58,10.75,28.83
Alabama,1,20-24 years,20-24,"Associate degree (AA, AS)",5,Yes,1,33,23,37.15,3203.61,32.35,11.42,16.73
Alabama,1,20-24 years,20-24,"Associate degree (AA, AS)",5,No,2,744,22.78,38.14,3212.71,27.54,10.96,25.12
Alabama,1,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Yes,1,30,23.43,38.4,3466.43,30.93,12.5,21.4
Alabama,1,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,No,2,657,23.32,38.38,3269.71,27.25,11.21,20.44
Alabama,1,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,59,23.37,38.47,3325.49,26.47,11.66,14.83
Alabama,1,20-24 years,20-24,Unknown or Not Stated,Unk,No,2,18,22,38,3070.28,31.21,8.06,22.5
Alabama,1,25-29 years,25-29,8th grade or less,1,No,2,65,26.83,38.65,3274.4,28.11,9.78,50.31
Alabama,1,25-29 years,25-29,9th through 12th grade with no diploma,2,Yes,1,49,26.53,37.65,3174.51,34.21,9.86,62.54
Alabama,1,25-29 years,25-29,9th through 12th grade with no diploma,2,No,2,710,26.77,37.87,3111.99,29.81,9.11,49.51
Alabama,1,25-29 years,25-29,High school graduate or GED completed,3,Yes,1,354,26.84,37.58,3223.09,34.16,11.89,41.9
Alabama,1,25-29 years,25-29,High school graduate or GED completed,3,No,2,4895,26.79,37.95,3155.21,30.57,10.18,43.37
Alabama,1,25-29 years,25-29,"Some college credit, but not a degree",4,Yes,1,222,26.96,37.56,3256.67,35.26,12.05,37.63
Alabama,1,25-29 years,25-29,"Some college credit, but not a degree",4,No,2,2927,26.94,38,3207.98,30.28,10.58,41.8
Alabama,1,25-29 years,25-29,"Associate degree (AA, AS)",5,Yes,1,127,27.27,37.53,3211.18,33.27,12.13,39.74
Alabama,1,25-29 years,25-29,"Associate degree (AA, AS)",5,No,2,1796,26.97,38.11,3249.94,29.21,10.9,38.62
Alabama,1,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Yes,1,147,27.63,37.73,3316.63,31.68,11.8,28.3
Alabama,1,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,No,2,3206,27.2,38.34,3309.94,27.76,11.01,30.95
Alabama,1,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,62,27.63,38,3323.69,31.07,12.21,25.67
Alabama,1,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,1191,27.53,38.35,3331,27.64,11.21,27.72
Alabama,1,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Yes,1,16,27.81,37.62,3292.44,27.81,11.94,38
Alabama,1,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,223,27.84,38.17,3242.93,25.81,11.11,20.15
Alabama,1,25-29 years,25-29,Unknown or Not Stated,Unk,No,2,11,26.82,36.6,2769.8,28.04,4.09,51
Alabama,1,30-34 years,30-34,8th grade or less,1,No,2,67,31.88,37.79,3147.02,28.35,9.06,80.67
Alabama,1,30-34 years,30-34,9th through 12th grade with no diploma,2,Yes,1,41,32.07,37.32,3099.17,35.1,10.83,77.88
Alabama,1,30-34 years,30-34,9th through 12th grade with no diploma,2,No,2,484,31.77,37.57,3055.13,30.47,8.84,66.6
Alabama,1,30-34 years,30-34,High school graduate or GED completed,3,Yes,1,255,31.8,37.15,3191.22,35.28,11.52,61.81
Alabama,1,30-34 years,30-34,High school graduate or GED completed,3,No,2,2875,31.71,37.62,3077.89,30.92,10.08,60.91
Alabama,1,30-34 years,30-34,"Some college credit, but not a degree",4,Yes,1,213,31.83,37.52,3270.45,34.81,12.05,59.3
Alabama,1,30-34 years,30-34,"Some college credit, but not a degree",4,No,2,2120,31.75,37.87,3175.19,30.8,10.55,54.61
Alabama,1,30-34 years,30-34,"Associate degree (AA, AS)",5,Yes,1,114,31.86,37.85,3394.3,34.83,12.41,44.83
Alabama,1,30-34 years,30-34,"Associate degree (AA, AS)",5,No,2,1334,31.83,38.03,3237.37,30.19,11.01,52.71
Alabama,1,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Yes,1,193,31.88,37.95,3349.37,32,12,49.74
Alabama,1,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,No,2,2941,31.76,38.33,3341.56,27.68,11.02,42.91
Alabama,1,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,119,31.86,37.75,3250.24,30.21,12.29,47.41
Alabama,1,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,1739,31.91,38.27,3328.85,27.83,11.12,35.04
Alabama,1,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Yes,1,23,31.48,38.39,3400.04,28.15,13.09,23.25
Alabama,1,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,501,31.99,38.59,3331.9,25.65,10.91,26.83
Alabama,1,30-34 years,30-34,Unknown or Not Stated,Unk,No,2,14,32.57,37.21,2852.36,28.51,7.54,94
Alabama,1,35-39 years,35-39,8th grade or less,1,No,2,21,37.14,37.81,3071.9,30.53,8.38,59.57
Alabama,1,35-39 years,35-39,9th through 12th grade with no diploma,2,Yes,1,31,36.61,36.74,3218.23,36,10.55,94.17
Alabama,1,35-39 years,35-39,9th through 12th grade with no diploma,2,No,2,214,36.57,37.3,2868.57,30.99,9.03,80.4
Alabama,1,35-39 years,35-39,High school graduate or GED completed,3,Yes,1,130,36.72,37.46,3223.95,35.66,11.64,73.26
Alabama,1,35-39 years,35-39,High school graduate or GED completed,3,No,2,981,36.45,37.51,3072.2,31.16,9.97,75.35
Alabama,1,35-39 years,35-39,"Some college credit, but not a degree",4,Yes,1,103,36.81,37.42,3262.8,34.31,11.39,66.53
Alabama,1,35-39 years,35-39,"Some college credit, but not a degree",4,No,2,830,36.45,37.65,3142.23,30.65,10.16,79.81
Alabama,1,35-39 years,35-39,"Associate degree (AA, AS)",5,Yes,1,57,36.61,37.63,3188.04,33.46,11.4,76.11
Alabama,1,35-39 years,35-39,"Associate degree (AA, AS)",5,No,2,540,36.61,37.55,3131.28,30.7,10.51,67.87
Alabama,1,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Yes,1,150,36.53,37.47,3255.86,32.19,12,61.83
Alabama,1,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,No,2,1213,36.45,38.04,3285.44,28.19,11.12,56.45
Alabama,1,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,66,36.74,37.41,3174.64,32.23,11.69,58.29
Alabama,1,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,828,36.51,38,3258.14,28.57,11.35,49.89
Alabama,1,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Yes,1,17,37,37.65,3304.88,29.94,12.41,44
Alabama,1,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,265,36.48,38.34,3314.6,26.31,11.32,38
Alabama,1,35-39 years,35-39,Unknown or Not Stated,Unk,No,2,14,36.86,37.29,2915.79,29.8,9.21,75
Alabama,1,40-44 years,40-44,9th through 12th grade with no diploma,2,No,2,39,41.38,37.49,2810.77,30.77,8.89,101.5
Alabama,1,40-44 years,40-44,High school graduate or GED completed,3,Yes,1,34,41.41,37.65,3100.71,34.31,10.74,80
Alabama,1,40-44 years,40-44,High school graduate or GED completed,3,No,2,171,41.15,37.32,2980.09,31.22,10.09,104.87
Alabama,1,40-44 years,40-44,"Some college credit, but not a degree",4,Yes,1,24,41.08,36.38,3018.58,36.06,11.46,34.77
Alabama,1,40-44 years,40-44,"Some college credit, but not a degree",4,No,2,145,41.11,37.46,3116.01,30.67,10.42,76.91
Alabama,1,40-44 years,40-44,"Associate degree (AA, AS)",5,Yes,1,17,40.65,37.88,3215.65,35.75,11.65,60.5
Alabama,1,40-44 years,40-44,"Associate degree (AA, AS)",5,No,2,101,41.13,37.36,3020.24,30.84,10.49,91.67
Alabama,1,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,Yes,1,34,41.15,37.47,3235.32,29.93,12.29,55.8
Alabama,1,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,No,2,220,41.2,37.86,3239.26,29.26,11.14,52.3
Alabama,1,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,20,41.2,36.95,3054.45,32.95,13.1,48.25
Alabama,1,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,146,40.93,37.42,3152.09,29.54,11.51,57.93
Alabama,1,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,69,41.09,38.06,3257.65,28.37,10.97,48.43
Alabama,1,45-49 years,45-49,"Some college credit, but not a degree",4,No,2,10,46.1,35.1,2678.9,30.77,8.9,97.6
Alaska,2,15-19 years,15-19,9th through 12th grade with no diploma,2,Yes,1,12,17.83,37.17,3183.75,24.61,11.08,Not Applicable
Alaska,2,15-19 years,15-19,9th through 12th grade with no diploma,2,No,2,109,17.77,38.5,3281.65,23.87,8.89,16.88
Alaska,2,15-19 years,15-19,High school graduate or GED completed,3,Yes,1,10,18.5,38.5,3466.7,30.55,9.88,Not Applicable
Alaska,2,15-19 years,15-19,High school graduate or GED completed,3,No,2,135,18.63,38.46,3302.14,25.73,10.07,14.86
Alaska,2,15-19 years,15-19,"Some college credit, but not a degree",4,No,2,15,18.93,37.67,2888.27,27.19,9.36,19
Alaska,2,20-24 years,20-24,9th through 12th grade with no diploma,2,Yes,1,18,21.83,38.11,3311.78,31.12,9.12,33.43
Alaska,2,20-24 years,20-24,9th through 12th grade with no diploma,2,No,2,153,21.88,38.07,3249.19,26.06,8.88,31.3
Alaska,2,20-24 years,20-24,High school graduate or GED completed,3,Yes,1,78,22.23,38.44,3562.67,30.06,11.61,30.72
Alaska,2,20-24 years,20-24,High school graduate or GED completed,3,No,2,740,22.1,38.38,3329.7,26.74,10.21,31.08
Alaska,2,20-24 years,20-24,High school graduate or GED completed,3,Unknown or Not Stated,9,10,21.6,38.5,3588.9,28.58,4.5,55.33
Alaska,2,20-24 years,20-24,"Some college credit, but not a degree",4,Yes,1,29,22.62,38.07,3492.97,30.39,10.79,23
Alaska,2,20-24 years,20-24,"Some college credit, but not a degree",4,No,2,369,22.51,38.59,3345.71,26.41,10.9,25.82
Alaska,2,20-24 years,20-24,"Associate degree (AA, AS)",5,No,2,69,22.99,39,3377.2,27.02,10.94,18.45
Alaska,2,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,No,2,72,23.4,38.5,3351.03,27.3,11.26,24.5
Alaska,2,20-24 years,20-24,Unknown or Not Stated,Unk,No,2,18,21.89,36.67,2921.67,27.59,6.5,30.83
Alaska,2,25-29 years,25-29,9th through 12th grade with no diploma,2,Yes,1,10,27.5,38.4,3452,30.1,8.3,67.67
Alaska,2,25-29 years,25-29,9th through 12th grade with no diploma,2,No,2,99,27.17,37.91,3286.39,28.28,8.38,56.77
Alaska,2,25-29 years,25-29,High school graduate or GED completed,3,Yes,1,95,27.08,38,3293.98,31.87,11.39,37
Alaska,2,25-29 years,25-29,High school graduate or GED completed,3,No,2,687,26.79,38.3,3323.59,27.98,10.26,49.99
Alaska,2,25-29 years,25-29,High school graduate or GED completed,3,Unknown or Not Stated,9,13,26.92,37.85,3317.08,28.8,6.09,32
Alaska,2,25-29 years,25-29,"Some college credit, but not a degree",4,Yes,1,68,27.04,37.71,3415.65,29.86,11.84,27.18
Alaska,2,25-29 years,25-29,"Some college credit, but not a degree",4,No,2,532,27.02,38.55,3358.63,28.34,10.92,39.96
Alaska,2,25-29 years,25-29,"Associate degree (AA, AS)",5,Yes,1,24,27.46,38.54,3291.17,31.05,12.23,25
Alaska,2,25-29 years,25-29,"Associate degree (AA, AS)",5,No,2,179,27.23,38.44,3338.46,28.09,10.87,42.77
Alaska,2,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Yes,1,23,27,37.91,3380.22,31.45,11.39,26.67
Alaska,2,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,No,2,370,27.31,39.01,3432.82,26.21,11.23,37.93
Alaska,2,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,71,27.62,38.85,3411.76,25.82,11.71,19.75
Alaska,2,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,22,27.77,39.14,3346.36,26.05,11.59,11
Alaska,2,25-29 years,25-29,Unknown or Not Stated,Unk,No,2,20,27.2,38.3,3210.55,24.95,10.05,26.8
Alaska,2,30-34 years,30-34,9th through 12th grade with no diploma,2,Yes,1,20,32.55,38.1,3333.9,30.76,10.25,71.89
Alaska,2,30-34 years,30-34,9th through 12th grade with no diploma,2,No,2,95,31.92,37.81,3250.52,28.42,8.44,52.28
Alaska,2,30-34 years,30-34,9th through 12th grade with no diploma,2,Unknown or Not Stated,9,11,31.18,36.56,3086,24.97,3.4,143
Alaska,2,30-34 years,30-34,High school graduate or GED completed,3,Yes,1,114,31.68,37.96,3434.6,32.45,10.27,59.93
Alaska,2,30-34 years,30-34,High school graduate or GED completed,3,No,2,412,31.73,38.23,3347.31,28.95,10.17,65.59
Alaska,2,30-34 years,30-34,"Some college credit, but not a degree",4,Yes,1,74,32.11,38.24,3433.64,34.13,11.95,61.87
Alaska,2,30-34 years,30-34,"Some college credit, but not a degree",4,No,2,427,31.7,38.71,3454.84,28.38,10.88,52.45
Alaska,2,30-34 years,30-34,"Associate degree (AA, AS)",5,Yes,1,29,31.9,38.34,3420.17,31.58,10.82,67.2
Alaska,2,30-34 years,30-34,"Associate degree (AA, AS)",5,No,2,194,31.96,38.55,3448.38,27.97,11.06,51.75
Alaska,2,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Yes,1,55,31.93,38.27,3364.93,30.73,11.3,43.88
Alaska,2,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,No,2,466,31.9,38.85,3450.14,26.3,11.14,46.23
Alaska,2,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,18,31.44,37.72,3340.06,32.29,10.94,53.33
Alaska,2,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,190,32.12,39.01,3484.91,27.31,11.22,38.58
Alaska,2,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,68,32.65,38.96,3457.47,25.41,11.46,36.07
Alaska,2,30-34 years,30-34,Unknown or Not Stated,Unk,No,2,29,31.97,38.1,3200.1,25.05,8.25,70.4
Alaska,2,35-39 years,35-39,9th through 12th grade with no diploma,2,No,2,45,36.53,37.42,3122.18,28.43,7.73,115.96
Alaska,2,35-39 years,35-39,High school graduate or GED completed,3,Yes,1,49,36.45,37.63,3367.71,33.41,11.13,72.88
Alaska,2,35-39 years,35-39,High school graduate or GED completed,3,No,2,188,36.54,37.79,3241.71,29.28,9.26,76.45
Alaska,2,35-39 years,35-39,"Some college credit, but not a degree",4,Yes,1,39,37.08,37.69,3369.23,33.01,11.24,69.7
Alaska,2,35-39 years,35-39,"Some college credit, but not a degree",4,No,2,188,36.46,38.47,3339.37,28.91,10.62,62.98
Alaska,2,35-39 years,35-39,"Associate degree (AA, AS)",5,Yes,1,18,36.67,38.44,3563.17,30.99,11.78,64.82
Alaska,2,35-39 years,35-39,"Associate degree (AA, AS)",5,No,2,83,36.67,38.65,3431.39,28.79,11.05,62.23
Alaska,2,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Yes,1,43,36.49,38.05,3351.33,31.87,11.6,53.81
Alaska,2,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,No,2,278,36.49,38.8,3418.5,26.91,11.43,60.86
Alaska,2,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,21,37,38.33,3456.9,32.45,11.67,49.91
Alaska,2,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,164,36.77,38.59,3388.2,26.79,11.36,44.63
Alaska,2,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,65,36.35,39.05,3361.17,24.28,10.65,40.45
Alaska,2,35-39 years,35-39,Unknown or Not Stated,Unk,No,2,14,36.79,39.07,3641.43,30.98,10.29,77
Alaska,2,40-44 years,40-44,High school graduate or GED completed,3,Yes,1,11,41.36,38.18,3559.55,33.72,10.27,54
Alaska,2,40-44 years,40-44,High school graduate or GED completed,3,No,2,35,41.2,38.26,3385.11,29.78,10.31,81.89
Alaska,2,40-44 years,40-44,"Some college credit, but not a degree",4,Yes,1,12,40.92,38.5,3543.33,31.93,11.27,26
Alaska,2,40-44 years,40-44,"Some college credit, but not a degree",4,No,2,38,41.26,38.68,3399.84,29.36,10.76,62.71
Alaska,2,40-44 years,40-44,"Associate degree (AA, AS)",5,Yes,1,11,41.27,36.91,3205.27,29.27,11.27,55.29
Alaska,2,40-44 years,40-44,"Associate degree (AA, AS)",5,No,2,16,40.88,38.81,3579.56,32.16,11.5,78.6
Alaska,2,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,Yes,1,17,41.82,37.41,3182.65,31.61,11.71,56.8
Alaska,2,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,No,2,57,40.93,38.88,3573.49,25.96,11.43,51.67
Alaska,2,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,40,41.08,38.42,3529.9,26.23,11.41,57
Alaska,2,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,17,41.12,38.47,3190.24,26.57,9.47,91.8
Arizona,4,Under 15 years,15,8th grade or less,1,No,2,15,13.73,39.33,3355.6,25.28,6.53,Not Applicable
Arizona,4,15-19 years,15-19,8th grade or less,1,No,2,113,17.72,38.7,3205.48,25.21,7.54,35.67
Arizona,4,15-19 years,15-19,9th through 12th grade with no diploma,2,Yes,1,54,17.81,37.72,3127.39,28.65,9.98,13
Arizona,4,15-19 years,15-19,9th through 12th grade with no diploma,2,No,2,1465,17.72,38.42,3138.43,24.95,9.07,20.37
Arizona,4,15-19 years,15-19,High school graduate or GED completed,3,Yes,1,37,18.73,38.05,3228.57,27.88,9.97,Not Applicable
Arizona,4,15-19 years,15-19,High school graduate or GED completed,3,No,2,1114,18.58,38.59,3175.26,25.62,10.19,20.68
Arizona,4,15-19 years,15-19,"Some college credit, but not a degree",4,No,2,155,18.79,38.88,3241.89,25.29,10.6,24.31
Arizona,4,15-19 years,15-19,"Associate degree (AA, AS)",5,No,2,16,18.94,38.69,3395.25,23.7,9,9
Arizona,4,15-19 years,15-19,Unknown or Not Stated,Unk,No,2,23,18.39,37.3,2690.13,23.05,7.14,18
Arizona,4,20-24 years,20-24,8th grade or less,1,Yes,1,18,22.22,38.33,3391.39,28.02,11.39,24.71
Arizona,4,20-24 years,20-24,8th grade or less,1,No,2,201,21.95,38.36,3145.87,27.64,8.3,38.54
Arizona,4,20-24 years,20-24,9th through 12th grade with no diploma,2,Yes,1,122,22.34,37.81,3262.7,33.08,11.13,29.47
Arizona,4,20-24 years,20-24,9th through 12th grade with no diploma,2,No,2,2101,21.86,38.39,3199.35,27.47,9.47,34.64
Arizona,4,20-24 years,20-24,High school graduate or GED completed,3,Yes,1,373,22.42,38.09,3319.31,31.52,11.61,29.46
Arizona,4,20-24 years,20-24,High school graduate or GED completed,3,No,2,5771,22.15,38.5,3211.63,27.21,10.46,29.27
Arizona,4,20-24 years,20-24,"Some college credit, but not a degree",4,Yes,1,172,22.56,38.02,3308.88,31.58,11.83,22.08
Arizona,4,20-24 years,20-24,"Some college credit, but not a degree",4,No,2,2508,22.5,38.6,3273.99,27.22,10.86,28.31
Arizona,4,20-24 years,20-24,"Associate degree (AA, AS)",5,Yes,1,35,23,37.6,3160.14,29.82,13.17,27.44
Arizona,4,20-24 years,20-24,"Associate degree (AA, AS)",5,No,2,620,22.74,38.69,3281.02,26.68,11.12,28.85
Arizona,4,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Yes,1,37,23.35,38.14,3318.43,27.84,11.73,23.6
Arizona,4,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,No,2,636,23.16,38.7,3313.38,25.82,11.47,24.97
Arizona,4,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,34,23.29,37.85,3072.88,26.81,11.24,17.8
Arizona,4,20-24 years,20-24,Unknown or Not Stated,Unk,No,2,65,22.31,38.57,3153.36,25.72,8.93,35.33
Arizona,4,25-29 years,25-29,8th grade or less,1,Yes,1,19,27.16,37.79,3221.05,33.47,11.68,39.25
Arizona,4,25-29 years,25-29,8th grade or less,1,No,2,119,27.25,38.5,3199.97,28.57,9.05,54.42
Arizona,4,25-29 years,25-29,9th through 12th grade with no diploma,2,Yes,1,150,27.24,38.05,3372.81,33.69,11.51,46.73
Arizona,4,25-29 years,25-29,9th through 12th grade with no diploma,2,No,2,1264,26.8,38.28,3207.59,29.31,9.44,50.96
Arizona,4,25-29 years,25-29,High school graduate or GED completed,3,Yes,1,552,27.03,37.91,3285.5,32.49,11.31,44.92
Arizona,4,25-29 years,25-29,High school graduate or GED completed,3,No,2,5274,26.87,38.41,3249.64,29.07,10.75,47.25
Arizona,4,25-29 years,25-29,"Some college credit, but not a degree",4,Yes,1,430,27.23,38,3263.92,32.47,12.11,41.04
Arizona,4,25-29 years,25-29,"Some college credit, but not a degree",4,No,2,4087,26.98,38.54,3304.99,28.47,11.12,44.92
Arizona,4,25-29 years,25-29,"Associate degree (AA, AS)",5,Yes,1,174,27.32,37.86,3222.11,30.93,12.18,50.86
Arizona,4,25-29 years,25-29,"Associate degree (AA, AS)",5,No,2,1581,27.13,38.54,3300.58,28.14,11.41,39.02
Arizona,4,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Yes,1,277,27.53,37.97,3291.56,30.48,12.47,35.15
Arizona,4,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,No,2,3571,27.28,38.77,3354.65,26.5,11.57,32.97
Arizona,4,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,66,27.85,37.86,3264.94,30.98,12.4,26.5
Arizona,4,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,858,27.65,38.73,3356.69,26.7,12.04,32.36
Arizona,4,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,164,28.12,38.61,3301.93,25.47,11.59,27.95
Arizona,4,25-29 years,25-29,Unknown or Not Stated,Unk,No,2,95,27.21,38,3036.59,26.4,7.96,49.17
Arizona,4,30-34 years,30-34,8th grade or less,1,Yes,1,19,32.58,36.95,3122,35.4,9.58,78.75
Arizona,4,30-34 years,30-34,8th grade or less,1,No,2,109,32.06,37.71,3134.5,29.51,8.54,74.67
Arizona,4,30-34 years,30-34,9th through 12th grade with no diploma,2,Yes,1,123,31.76,37.92,3324.27,34.91,11.2,74.6
Arizona,4,30-34 years,30-34,9th through 12th grade with no diploma,2,No,2,743,31.68,38.02,3179.27,30.56,9.1,76.42
Arizona,4,30-34 years,30-34,High school graduate or GED completed,3,Yes,1,523,31.84,37.74,3302.12,33.58,11.87,64.94
Arizona,4,30-34 years,30-34,High school graduate or GED completed,3,No,2,3230,31.74,38.21,3224.61,29.69,10.55,65.22
Arizona,4,30-34 years,30-34,"Some college credit, but not a degree",4,Yes,1,499,31.86,37.93,3347.33,33.54,12.29,63.71
Arizona,4,30-34 years,30-34,"Some college credit, but not a degree",4,No,2,3361,31.83,38.42,3285.61,29.2,11.1,63.42
Arizona,4,30-34 years,30-34,"Associate degree (AA, AS)",5,Yes,1,217,31.88,38.12,3381.16,33.21,12.5,50.75
Arizona,4,30-34 years,30-34,"Associate degree (AA, AS)",5,No,2,1601,31.85,38.41,3286.29,28.73,11.26,55.57
Arizona,4,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Yes,1,407,32.1,37.94,3213.96,30.69,12.74,47.2
Arizona,4,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,No,2,4315,31.9,38.64,3346.51,26.47,11.54,44.86
Arizona,4,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,167,31.99,38.27,3260.42,30.78,12.49,44.44
Arizona,4,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,1761,32.03,38.77,3379.37,26.59,11.93,42.3
