State,State Code,Age of Mother 9,Age of Mother 9 Code,Mother's Education,Mother's Education Code,Delivery Method,Delivery Method Code,Deaths,Births,Death Rate Raw,Death Rate Fx,Death Rate Clean
Alabama,1,30-34 years,30-34,High school graduate or GED completed,3,Cesarean,2,75,6709,11.18,11.18,11.18
Alabama,1,30-34 years,30-34,"Some college credit, but not a degree",4,Vaginal,1,60,8327,7.21,7.21,7.21
Alabama,1,30-34 years,30-34,"Some college credit, but not a degree",4,Cesarean,2,48,5931,8.09,8.09,8.09
Alabama,1,30-34 years,30-34,"Associate degree (AA, AS)",5,Vaginal,1,23,5058,4.55,4.55,4.55
Alabama,1,30-34 years,30-34,"Associate degree (AA, AS)",5,Cesarean,2,19,3507,5.42 (Unreliable),5.42,5.42
Alabama,1,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,29,11816,2.45,2.45,2.45
Alabama,1,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,34,6737,5.05,5.05,5.05
Alabama,1,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Vaginal,1,20,6692,2.99,2.99,2.99
Alabama,1,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Cesarean,2,29,3984,7.28,7.28,7.28
Alabama,1,35-39 years,35-39,9th through 12th grade with no diploma,2,Cesarean,2,12,673,17.83 (Unreliable),17.83,17.83
Alabama,1,35-39 years,35-39,High school graduate or GED completed,3,Vaginal,1,29,2897,10.01,10.01,10.01
Alabama,1,35-39 years,35-39,High school graduate or GED completed,3,Cesarean,2,37,2659,13.92,13.92,13.92
Alabama,1,35-39 years,35-39,"Some college credit, but not a degree",4,Vaginal,1,22,2925,7.52,7.52,7.52
Alabama,1,35-39 years,35-39,"Some college credit, but not a degree",4,Cesarean,2,15,2550,5.88 (Unreliable),5.88,5.88
Alabama,1,35-39 years,35-39,"Associate degree (AA, AS)",5,Vaginal,1,11,1808,6.08 (Unreliable),6.08,6.08
Alabama,1,35-39 years,35-39,"Associate degree (AA, AS)",5,Cesarean,2,13,1598,8.14 (Unreliable),8.14,8.14
Alabama,1,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,10,4359,2.29 (Unreliable),2.29,2.29
Alabama,1,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,24,3343,7.18,7.18,7.18
Alabama,1,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Vaginal,1,13,2695,4.82 (Unreliable),4.82,4.82
Alabama,1,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Cesarean,2,14,2206,6.35 (Unreliable),6.35,6.35
Alabama,1,40-44 years,40-44,"Some college credit, but not a degree",4,Cesarean,2,11,515,21.36 (Unreliable),21.36,21.36
Alaska,2,20-24 years,20-24,9th through 12th grade with no diploma,2,Vaginal,1,13,1028,12.65 (Unreliable),12.65,12.65
Alaska,2,20-24 years,20-24,High school graduate or GED completed,3,Vaginal,1,33,4524,7.29,7.29,7.29
Alaska,2,20-24 years,20-24,High school graduate or GED completed,3,Cesarean,2,14,830,16.87 (Unreliable),16.87,16.87
Alaska,2,20-24 years,20-24,"Some college credit, but not a degree",4,Vaginal,1,14,2586,5.41 (Unreliable),5.41,5.41
Alaska,2,25-29 years,25-29,High school graduate or GED completed,3,Vaginal,1,23,3879,5.93,5.93,5.93
Alaska,2,25-29 years,25-29,High school graduate or GED completed,3,Cesarean,2,11,1005,10.95 (Unreliable),10.95,10.95
Alaska,2,25-29 years,25-29,"Some college credit, but not a degree",4,Vaginal,1,12,3297,3.64 (Unreliable),3.64,3.64
Alaska,2,30-34 years,30-34,High school graduate or GED completed,3,Vaginal,1,17,2320,7.33 (Unreliable),7.33,7.33
Alaska,2,30-34 years,30-34,"Some college credit, but not a degree",4,Vaginal,1,15,2230,6.73 (Unreliable),6.73,6.73
Arizona,4,15-19 years,15-19,9th through 12th grade with no diploma,2,Vaginal,1,76,9251,8.22,8.22,8.22
Arizona,4,15-19 years,15-19,9th through 12th grade with no diploma,2,Cesarean,2,29,1791,16.19,16.19,16.19
Arizona,4,15-19 years,15-19,High school graduate or GED completed,3,Vaginal,1,40,6342,6.31,6.31,6.31
Arizona,4,15-19 years,15-19,High school graduate or GED completed,3,Cesarean,2,16,1220,13.11 (Unreliable),13.11,13.11
Arizona,4,20-24 years,20-24,9th through 12th grade with no diploma,2,Vaginal,1,74,11668,6.34,6.34,6.34
Arizona,4,20-24 years,20-24,9th through 12th grade with no diploma,2,Cesarean,2,62,3446,17.99,17.99,17.99
Arizona,4,20-24 years,20-24,High school graduate or GED completed,3,Vaginal,1,145,28380,5.11,5.11,5.11
Arizona,4,20-24 years,20-24,High school graduate or GED completed,3,Cesarean,2,73,7921,9.22,9.22,9.22
Arizona,4,20-24 years,20-24,"Some college credit, but not a degree",4,Vaginal,1,57,17050,3.34,3.34,3.34
Arizona,4,20-24 years,20-24,"Some college credit, but not a degree",4,Cesarean,2,33,4665,7.07,7.07,7.07
Arizona,4,20-24 years,20-24,"Associate degree (AA, AS)",5,Vaginal,1,11,3809,2.89 (Unreliable),2.89,2.89
Arizona,4,20-24 years,20-24,"Associate degree (AA, AS)",5,Cesarean,2,14,919,15.23 (Unreliable),15.23,15.23
Arizona,4,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,13,3195,4.07 (Unreliable),4.07,4.07
Arizona,4,20-24 years,20-24,Unknown or Not Stated,Unk,Vaginal,1,10,265,37.74 (Unreliable),37.74,37.74
Arizona,4,25-29 years,25-29,9th through 12th grade with no diploma,2,Vaginal,1,36,7188,5.01,5.01,5.01
Arizona,4,25-29 years,25-29,9th through 12th grade with no diploma,2,Cesarean,2,32,2879,11.11,11.11,11.11
Arizona,4,25-29 years,25-29,High school graduate or GED completed,3,Vaginal,1,136,24018,5.66,5.66,5.66
Arizona,4,25-29 years,25-29,High school graduate or GED completed,3,Cesarean,2,86,9333,9.21,9.21,9.21
Arizona,4,25-29 years,25-29,"Some college credit, but not a degree",4,Vaginal,1,92,23838,3.86,3.86,3.86
Arizona,4,25-29 years,25-29,"Some college credit, but not a degree",4,Cesarean,2,53,8687,6.1,6.1,6.1
Arizona,4,25-29 years,25-29,"Associate degree (AA, AS)",5,Vaginal,1,23,8811,2.61,2.61,2.61
Arizona,4,25-29 years,25-29,"Associate degree (AA, AS)",5,Cesarean,2,25,3028,8.26,8.26,8.26
Arizona,4,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,40,16610,2.41,2.41,2.41
Arizona,4,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,41,4915,8.34,8.34,8.34
Arizona,4,30-34 years,30-34,9th through 12th grade with no diploma,2,Vaginal,1,19,3655,5.20 (Unreliable),5.2,5.2
Arizona,4,30-34 years,30-34,9th through 12th grade with no diploma,2,Cesarean,2,21,1900,11.05,11.05,11.05
Arizona,4,30-34 years,30-34,High school graduate or GED completed,3,Vaginal,1,68,12282,5.54,5.54,5.54
Arizona,4,30-34 years,30-34,High school graduate or GED completed,3,Cesarean,2,54,6347,8.51,8.51,8.51
Arizona,4,30-34 years,30-34,"Some college credit, but not a degree",4,Vaginal,1,71,15809,4.49,4.49,4.49
Arizona,4,30-34 years,30-34,"Some college credit, but not a degree",4,Cesarean,2,63,7673,8.21,8.21,8.21
Arizona,4,30-34 years,30-34,"Associate degree (AA, AS)",5,Vaginal,1,33,7319,4.51,4.51,4.51
Arizona,4,30-34 years,30-34,"Associate degree (AA, AS)",5,Cesarean,2,25,3435,7.28,7.28,7.28
Arizona,4,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,49,18866,2.6,2.6,2.6
Arizona,4,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,33,7616,4.33,4.33,4.33
Arizona,4,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Vaginal,1,15,7606,1.97 (Unreliable),1.97,1.97
Arizona,4,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Cesarean,2,13,3085,4.21 (Unreliable),4.21,4.21
Arizona,4,35-39 years,35-39,9th through 12th grade with no diploma,2,Vaginal,1,10,1368,7.31 (Unreliable),7.31,7.31
Arizona,4,35-39 years,35-39,High school graduate or GED completed,3,Vaginal,1,21,4275,4.91,4.91,4.91
Arizona,4,35-39 years,35-39,High school graduate or GED completed,3,Cesarean,2,27,2795,9.66,9.66,9.66
Arizona,4,35-39 years,35-39,"Some college credit, but not a degree",4,Vaginal,1,25,5954,4.2,4.2,4.2
Arizona,4,35-39 years,35-39,"Some college credit, but not a degree",4,Cesarean,2,18,3880,4.64 (Unreliable),4.64,4.64
Arizona,4,35-39 years,35-39,"Associate degree (AA, AS)",5,Vaginal,1,20,3064,6.53,6.53,6.53
Arizona,4,35-39 years,35-39,"Associate degree (AA, AS)",5,Cesarean,2,15,1924,7.80 (Unreliable),7.8,7.8
Arizona,4,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,34,8085,4.21,4.21,4.21
Arizona,4,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,25,4387,5.7,5.7,5.7
Arizona,4,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Vaginal,1,10,4159,2.40 (Unreliable),2.4,2.4
Arizona,4,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Cesarean,2,17,2373,7.16 (Unreliable),7.16,7.16
Arizona,4,40-44 years,40-44,"Some college credit, but not a degree",4,Vaginal,1,12,1148,10.45 (Unreliable),10.45,10.45
Arkansas,5,15-19 years,15-19,9th through 12th grade with no diploma,2,Vaginal,1,48,4371,10.98,10.98,10.98
Arkansas,5,15-19 years,15-19,9th through 12th grade with no diploma,2,Cesarean,2,15,1227,12.22 (Unreliable),12.22,12.22
Arkansas,5,15-19 years,15-19,High school graduate or GED completed,3,Vaginal,1,40,5549,7.21,7.21,7.21
Arkansas,5,15-19 years,15-19,High school graduate or GED completed,3,Cesarean,2,24,1652,14.53,14.53,14.53
Arkansas,5,20-24 years,20-24,9th through 12th grade with no diploma,2,Vaginal,1,45,3902,11.53,11.53,11.53
Arkansas,5,20-24 years,20-24,9th through 12th grade with no diploma,2,Cesarean,2,25,1769,14.13,14.13,14.13
Arkansas,5,20-24 years,20-24,High school graduate or GED completed,3,Vaginal,1,140,18534,7.55,7.55,7.55
Arkansas,5,20-24 years,20-24,High school graduate or GED completed,3,Cesarean,2,87,7985,10.9,10.9,10.9
Arkansas,5,20-24 years,20-24,"Some college credit, but not a degree",4,Vaginal,1,60,10137,5.92,5.92,5.92
Arkansas,5,20-24 years,20-24,"Some college credit, but not a degree",4,Cesarean,2,46,4271,10.77,10.77,10.77
Arkansas,5,20-24 years,20-24,"Associate degree (AA, AS)",5,Vaginal,1,12,2613,4.59 (Unreliable),4.59,4.59
Arkansas,5,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,13,2261,5.75 (Unreliable),5.75,5.75
Arkansas,5,20-24 years,20-24,Unknown or Not Stated,Unk,Vaginal,1,13,279,46.59 (Unreliable),46.59,46.59
Arkansas,5,25-29 years,25-29,9th through 12th grade with no diploma,2,Vaginal,1,23,2155,10.67,10.67,10.67
Arkansas,5,25-29 years,25-29,9th through 12th grade with no diploma,2,Cesarean,2,19,1193,15.93 (Unreliable),15.93,15.93
Arkansas,5,25-29 years,25-29,High school graduate or GED completed,3,Vaginal,1,103,11442,9,9,9
Arkansas,5,25-29 years,25-29,High school graduate or GED completed,3,Cesarean,2,68,6567,10.35,10.35,10.35
Arkansas,5,25-29 years,25-29,"Some college credit, but not a degree",4,Vaginal,1,53,9241,5.74,5.74,5.74
Arkansas,5,25-29 years,25-29,"Some college credit, but not a degree",4,Cesarean,2,60,5262,11.4,11.4,11.4
Arkansas,5,25-29 years,25-29,"Associate degree (AA, AS)",5,Vaginal,1,14,4356,3.21 (Unreliable),3.21,3.21
Arkansas,5,25-29 years,25-29,"Associate degree (AA, AS)",5,Cesarean,2,10,2339,4.28 (Unreliable),4.28,4.28
Arkansas,5,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,34,8145,4.17,4.17,4.17
Arkansas,5,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,19,3625,5.24 (Unreliable),5.24,5.24
Arkansas,5,25-29 years,25-29,Unknown or Not Stated,Unk,Vaginal,1,10,233,42.92 (Unreliable),42.92,42.92
Arkansas,5,30-34 years,30-34,9th through 12th grade with no diploma,2,Vaginal,1,15,1076,13.94 (Unreliable),13.94,13.94
Arkansas,5,30-34 years,30-34,9th through 12th grade with no diploma,2,Cesarean,2,12,721,16.64 (Unreliable),16.64,16.64
Arkansas,5,30-34 years,30-34,High school graduate or GED completed,3,Vaginal,1,37,5061,7.31,7.31,7.31
Arkansas,5,30-34 years,30-34,High school graduate or GED completed,3,Cesarean,2,27,3616,7.47,7.47,7.47
Arkansas,5,30-34 years,30-34,"Some college credit, but not a degree",4,Vaginal,1,34,5010,6.79,6.79,6.79
Arkansas,5,30-34 years,30-34,"Some college credit, but not a degree",4,Cesarean,2,32,3706,8.63,8.63,8.63
Arkansas,5,30-34 years,30-34,"Associate degree (AA, AS)",5,Vaginal,1,11,2724,4.04 (Unreliable),4.04,4.04
Arkansas,5,30-34 years,30-34,"Associate degree (AA, AS)",5,Cesarean,2,12,1858,6.46 (Unreliable),6.46,6.46
Arkansas,5,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,31,6506,4.76,4.76,4.76
Arkansas,5,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,27,3676,7.34,7.34,7.34
Arkansas,5,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Cesarean,2,10,1959,5.10 (Unreliable),5.1,5.1
Arkansas,5,35-39 years,35-39,High school graduate or GED completed,3,Vaginal,1,19,1683,11.29 (Unreliable),11.29,11.29
Arkansas,5,35-39 years,35-39,High school graduate or GED completed,3,Cesarean,2,17,1444,11.77 (Unreliable),11.77,11.77
Arkansas,5,35-39 years,35-39,"Some college credit, but not a degree",4,Vaginal,1,12,1848,6.49 (Unreliable),6.49,6.49
Arkansas,5,35-39 years,35-39,"Some college credit, but not a degree",4,Cesarean,2,13,1585,8.20 (Unreliable),8.2,8.2
California,6,15-19 years,15-19,9th through 12th grade with no diploma,2,Vaginal,1,106,18382,5.77,5.77,5.77
California,6,15-19 years,15-19,9th through 12th grade with no diploma,2,Cesarean,2,50,3727,13.42,13.42,13.42
California,6,15-19 years,15-19,High school graduate or GED completed,3,Vaginal,1,123,26094,4.71,4.71,4.71
California,6,15-19 years,15-19,High school graduate or GED completed,3,Cesarean,2,67,5260,12.74,12.74,12.74
California,6,15-19 years,15-19,"Some college credit, but not a degree",4,Vaginal,1,35,5826,6.01,6.01,6.01
California,6,15-19 years,15-19,"Some college credit, but not a degree",4,Cesarean,2,14,1242,11.27 (Unreliable),11.27,11.27
California,6,15-19 years,15-19,Unknown or Not Stated,Unk,Vaginal,1,30,3423,8.76,8.76,8.76
California,6,15-19 years,15-19,Unknown or Not Stated,Unk,Cesarean,2,15,653,22.97 (Unreliable),22.97,22.97
California,6,20-24 years,20-24,9th through 12th grade with no diploma,2,Vaginal,1,105,18806,5.58,5.58,5.58
California,6,20-24 years,20-24,9th through 12th grade with no diploma,2,Cesarean,2,75,6446,11.64,11.64,11.64
California,6,20-24 years,20-24,High school graduate or GED completed,3,Vaginal,1,479,101957,4.7,4.7,4.7
California,6,20-24 years,20-24,High school graduate or GED completed,3,Cesarean,2,242,30013,8.06,8.06,8.06
California,6,20-24 years,20-24,"Some college credit, but not a degree",4,Vaginal,1,214,62287,3.44,3.44,3.44
California,6,20-24 years,20-24,"Some college credit, but not a degree",4,Cesarean,2,141,17702,7.97,7.97,7.97
California,6,20-24 years,20-24,"Associate degree (AA, AS)",5,Vaginal,1,37,11359,3.26,3.26,3.26
California,6,20-24 years,20-24,"Associate degree (AA, AS)",5,Cesarean,2,14,3216,4.35 (Unreliable),4.35,4.35
California,6,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,31,9564,3.24,3.24,3.24
California,6,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,20,2396,8.35,8.35,8.35
California,6,20-24 years,20-24,Unknown or Not Stated,Unk,Vaginal,1,124,12264,10.11,10.11,10.11
California,6,20-24 years,20-24,Unknown or Not Stated,Unk,Cesarean,2,44,3648,12.06,12.06,12.06
California,6,25-29 years,25-29,9th through 12th grade with no diploma,2,Vaginal,1,85,15634,5.44,5.44,5.44
California,6,25-29 years,25-29,9th through 12th grade with no diploma,2,Cesarean,2,72,7896,9.12,9.12,9.12
California,6,25-29 years,25-29,High school graduate or GED completed,3,Vaginal,1,332,96028,3.46,3.46,3.46
California,6,25-29 years,25-29,High school graduate or GED completed,3,Cesarean,2,283,39775,7.12,7.12,7.12
California,6,25-29 years,25-29,"Some college credit, but not a degree",4,Vaginal,1,290,90413,3.21,3.21,3.21
California,6,25-29 years,25-29,"Some college credit, but not a degree",4,Cesarean,2,216,35792,6.03,6.03,6.03
California,6,25-29 years,25-29,"Associate degree (AA, AS)",5,Vaginal,1,77,31183,2.47,2.47,2.47
California,6,25-29 years,25-29,"Associate degree (AA, AS)",5,Cesarean,2,68,11614,5.86,5.86,5.86
California,6,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,117,61704,1.9,1.9,1.9
California,6,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,81,19047,4.25,4.25,4.25
California,6,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Vaginal,1,28,15278,1.83,1.83,1.83
California,6,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Cesarean,2,26,4852,5.36,5.36,5.36
California,6,25-29 years,25-29,Unknown or Not Stated,Unk,Vaginal,1,159,19003,8.37,8.37,8.37
California,6,25-29 years,25-29,Unknown or Not Stated,Unk,Cesarean,2,85,7524,11.3,11.3,11.3
California,6,30-34 years,30-34,9th through 12th grade with no diploma,2,Vaginal,1,51,9987,5.11,5.11,5.11
California,6,30-34 years,30-34,9th through 12th grade with no diploma,2,Cesarean,2,55,6399,8.6,8.6,8.6
California,6,30-34 years,30-34,High school graduate or GED completed,3,Vaginal,1,196,54966,3.57,3.57,3.57
California,6,30-34 years,30-34,High school graduate or GED completed,3,Cesarean,2,169,30730,5.5,5.5,5.5
California,6,30-34 years,30-34,"Some college credit, but not a degree",4,Vaginal,1,246,66836,3.68,3.68,3.68
California,6,30-34 years,30-34,"Some college credit, but not a degree",4,Cesarean,2,210,35442,5.93,5.93,5.93
California,6,30-34 years,30-34,"Associate degree (AA, AS)",5,Vaginal,1,93,30267,3.07,3.07,3.07
California,6,30-34 years,30-34,"Associate degree (AA, AS)",5,Cesarean,2,76,14724,5.16,5.16,5.16
California,6,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,179,109680,1.63,1.63,1.63
California,6,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,145,41915,3.46,3.46,3.46
California,6,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Vaginal,1,78,47525,1.64,1.64,1.64
California,6,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Cesarean,2,74,18230,4.06,4.06,4.06
California,6,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Vaginal,1,27,16260,1.66,1.66,1.66
California,6,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Cesarean,2,16,5414,2.96 (Unreliable),2.96,2.96
California,6,30-34 years,30-34,Unknown or Not Stated,Unk,Vaginal,1,153,21532,7.11,7.11,7.11
California,6,30-34 years,30-34,Unknown or Not Stated,Unk,Cesarean,2,100,10531,9.5,9.5,9.5
California,6,35-39 years,35-39,9th through 12th grade with no diploma,2,Vaginal,1,23,4187,5.49,5.49,5.49
California,6,35-39 years,35-39,9th through 12th grade with no diploma,2,Cesarean,2,25,3186,7.85,7.85,7.85
California,6,35-39 years,35-39,High school graduate or GED completed,3,Vaginal,1,116,20683,5.61,5.61,5.61
California,6,35-39 years,35-39,High school graduate or GED completed,3,Cesarean,2,105,14381,7.3,7.3,7.3
California,6,35-39 years,35-39,"Some college credit, but not a degree",4,Vaginal,1,118,28036,4.21,4.21,4.21
California,6,35-39 years,35-39,"Some college credit, but not a degree",4,Cesarean,2,127,19640,6.47,6.47,6.47
California,6,35-39 years,35-39,"Associate degree (AA, AS)",5,Vaginal,1,49,13699,3.58,3.58,3.58
California,6,35-39 years,35-39,"Associate degree (AA, AS)",5,Cesarean,2,45,8983,5.01,5.01,5.01
California,6,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,121,60849,1.99,1.99,1.99
California,6,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,117,32197,3.63,3.63,3.63
California,6,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Vaginal,1,69,34029,2.03,2.03,2.03
California,6,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Cesarean,2,60,17399,3.45,3.45,3.45
California,6,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Vaginal,1,20,15161,1.32,1.32,1.32
California,6,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Cesarean,2,15,7285,2.06 (Unreliable),2.06,2.06
California,6,35-39 years,35-39,Unknown or Not Stated,Unk,Vaginal,1,88,12209,7.21,7.21,7.21
California,6,35-39 years,35-39,Unknown or Not Stated,Unk,Cesarean,2,75,7749,9.68,9.68,9.68
California,6,40-44 years,40-44,High school graduate or GED completed,3,Vaginal,1,18,3606,4.99 (Unreliable),4.99,4.99
California,6,40-44 years,40-44,High school graduate or GED completed,3,Cesarean,2,21,3185,6.59,6.59,6.59
California,6,40-44 years,40-44,"Some college credit, but not a degree",4,Vaginal,1,26,5153,5.05,5.05,5.05
California,6,40-44 years,40-44,"Some college credit, but not a degree",4,Cesarean,2,32,4477,7.15,7.15,7.15
California,6,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,23,10155,2.26,2.26,2.26
California,6,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,37,8047,4.6,4.6,4.6
California,6,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Vaginal,1,14,6294,2.22 (Unreliable),2.22,2.22
California,6,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Cesarean,2,20,4924,4.06,4.06,4.06
California,6,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Cesarean,2,13,2264,5.74 (Unreliable),5.74,5.74
California,6,40-44 years,40-44,Unknown or Not Stated,Unk,Vaginal,1,26,2597,10.01,10.01,10.01
California,6,40-44 years,40-44,Unknown or Not Stated,Unk,Cesarean,2,25,2269,11.02,11.02,11.02
Colorado,8,15-19 years,15-19,9th through 12th grade with no diploma,2,Vaginal,1,39,4569,8.54,8.54,8.54
Colorado,8,15-19 years,15-19,9th through 12th grade with no diploma,2,Cesarean,2,15,738,20.33 (Unreliable),20.33,20.33
